"ticket_id","customer_id","order_id","category","priority","status","created_at","resolved_at","ticket_text"
"TKT_000015","CUST_00692","ORD_014876","Delivery Issue","Medium","Resolved","2024-08-23T10:42:34","2024-08-23T14:42:34","I received a notification that ORD_014876 was out for delivery but it never arrived. This is the second time this has happened. Please resolve this as soon as possible."
"TKT_000016","CUST_03777","ORD_049807","Returns & Refunds","Low","Open","2024-05-27T00:30:17","","I was charged a return fee for order ORD_049807 but your website clearly states returns are free within 30 days. Please refund this charge."
"TKT_000017","CUST_03211","ORD_046064","Returns & Refunds","Low","Resolved","2024-12-05T03:14:35","2024-12-06T03:14:35","I need to exchange the item in order ORD_046064 for a different size. The current one is too small. I have been a loyal customer for years and this is very disappointing."
"TKT_000018","CUST_00610","ORD_000148","Delivery Issue","Low","In Progress","2024-08-27T08:29:37","","Order ORD_000148 shows a delivery attempt was made but no card was left and I was home. Please reschedule the delivery or issue a refund. I have all receipts and documentation ready to send."
"TKT_000019","CUST_04788","ORD_022052","Product Quality","Medium","Resolved","2024-06-18T23:15:05","2024-06-20T21:15:05","The product in order ORD_022052 is clearly a different model from what was advertised. The specifications are different."
"TKT_000020","CUST_01794","ORD_029643","Returns & Refunds","Low","Closed","2023-11-24T00:04:49","2023-11-25T13:04:49","I need to exchange the item in order ORD_029643 for a different size. The current one is too small. This is quite urgent as I need it for a gift."
"TKT_000021","CUST_04380","ORD_021994","Product Quality","Medium","Resolved","2023-07-09T12:35:29","2023-07-10T06:35:29","The sizing for order ORD_021994 is wildly inaccurate compared to your size guide. The item is at least two sizes smaller than stated. I would appreciate a prompt response."
"TKT_000022","CUST_02092","ORD_023119","Technical Support","Critical","Resolved","2023-11-12T18:27:33","2023-11-14T03:27:33","The website shows my last address is incorrect and I can't update it before my next delivery. This is quite urgent as I need it for a gift."
"TKT_000023","CUST_02796","ORD_003771","Technical Support","Low","Resolved","2023-08-01T10:43:57","2023-08-02T02:43:57","I'm not receiving any order confirmation emails despite my email address being correct in my account settings. I am happy to provide any additional details you need."
"TKT_000024","CUST_02789","ORD_030726","Returns & Refunds","High","Resolved","2023-06-21T05:42:56","2023-06-22T00:42:56","I'd like to return my purchase from order ORD_030726 as it doesn't fit. I've been trying to get a prepaid return label for 12 days but haven't heard back. I have been a loyal customer for years and this is very disappointing."
"TKT_000025","CUST_00677","ORD_030749","Product Quality","Medium","Closed","2022-12-10T14:59:52","2022-12-14T08:59:52","I purchased ORD_030749 and the product stopped working after just 6 days. This is completely unacceptable for the price I paid."
"TKT_000026","CUST_01394","ORD_038102","Returns & Refunds","Medium","Closed","2024-11-16T21:42:51","2024-11-21T20:42:51","I returned the item from ORD_038102 in perfect condition with original packaging but received a reduced refund without any explanation."
"TKT_000027","CUST_01961","ORD_030260","Delivery Issue","Low","Resolved","2024-12-30T04:41:44","2024-12-31T07:41:44","The estimated delivery for ORD_030260 was 10 days ago. I've contacted the courier but they keep redirecting me to you. I have all receipts and documentation ready to send."
"TKT_000028","CUST_01923","ORD_049125","Billing","Low","Resolved","2024-10-13T17:03:15","2024-10-15T00:03:15","I see an unauthorised charge on my account from 3 days ago that doesn't correspond to any order I placed."
"TKT_000029","CUST_01244","ORD_037666","Delivery Issue","Medium","Resolved","2024-09-15T05:37:39","2024-09-16T03:37:39","Order ORD_037666 shows a delivery attempt was made but no card was left and I was home. Please reschedule the delivery or issue a refund."
"TKT_000030","CUST_01559","ORD_045164","Returns & Refunds","Low","Resolved","2024-06-07T09:49:53","2024-06-08T01:49:53","I've been waiting 11 days for my refund for order ORD_045164. My bank says there's no pending transaction from you. I am happy to provide any additional details you need."
"TKT_000031","CUST_03500","ORD_003417","Delivery Issue","Low","Resolved","2024-04-10T06:39:05","2024-04-12T00:39:05","The tracking for ORD_003417 shows delivered but I was home all day and nothing arrived. My neighbour also confirms no package was left. I have been a loyal customer for years and this is very disappointing."
"TKT_000032","CUST_03727","ORD_045188","Technical Support","Medium","Closed","2022-12-16T12:43:22","2022-12-20T12:43:22","I've been trying to cancel order ORD_045188 through the app but the cancel button is greyed out. Please cancel it manually."
"TKT_000033","CUST_01092","ORD_027672","Product Quality","Critical","Closed","2024-10-16T21:21:02","2024-10-21T07:21:02","I purchased ORD_027672 and the product stopped working after just 9 days. This is completely unacceptable for the price I paid. Please resolve this as soon as possible."
"TKT_000034","CUST_02951","ORD_042610","Delivery Issue","Low","Resolved","2023-10-07T15:26:19","2023-10-08T15:26:19","I placed order ORD_042610 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently?"
"TKT_000035","CUST_00962","ORD_004220","Technical Support","Critical","Resolved","2023-10-02T20:28:03","2023-10-03T11:28:03","I'm not receiving any order confirmation emails despite my email address being correct in my account settings."
"TKT_000036","CUST_03800","ORD_044563","Delivery Issue","High","In Progress","2022-10-13T18:00:18","","Order ORD_044563 shows a delivery attempt was made but no card was left and I was home. Please reschedule the delivery or issue a refund."
"TKT_000037","CUST_04279","ORD_018192","Product Quality","Low","Closed","2024-12-04T12:49:59","2024-12-07T12:49:59","The sizing for order ORD_018192 is wildly inaccurate compared to your size guide. The item is at least two sizes smaller than stated. I am happy to provide any additional details you need."
"TKT_000038","CUST_02361","ORD_025026","Returns & Refunds","Low","Closed","2024-07-21T09:32:07","2024-07-24T16:32:07","The return portal isn't accepting my order number ORD_025026. I've tried multiple times. Please process this manually."
"TKT_000039","CUST_02783","ORD_040348","Billing","Critical","Resolved","2024-09-27T10:58:40","2024-09-27T23:58:40","Please update my payment method on file — my card ending in XXXX has expired."
"TKT_000040","CUST_04678","ORD_049299","Returns & Refunds","Medium","Resolved","2024-11-01T13:42:05","2024-11-02T05:42:05","I changed my mind about order ORD_049299 and would like to return it within the 30-day window. Please advise on the return procedure. I am happy to provide any additional details you need."
"TKT_000041","CUST_01202","ORD_008057","Delivery Issue","Medium","Closed","2024-04-10T06:34:23","2024-04-13T07:34:23","I urgently need order ORD_008057 for an event this weekend. Can you expedite shipping or arrange a same-day pickup?"
"TKT_000042","CUST_01677","ORD_032672","Technical Support","Low","Closed","2022-11-27T10:58:42","2022-12-01T06:58:42","The website won't let me complete checkout. Every time I click confirm I get an error message."
"TKT_000043","CUST_04068","ORD_029956","Billing","Medium","Resolved","2024-03-27T05:16:59","2024-03-27T10:16:59","I was charged twice for order ORD_029956. Please check the transaction and process the duplicate charge refund immediately."
"TKT_000044","CUST_01158","ORD_020960","Returns & Refunds","Medium","Resolved","2024-09-14T12:04:49","2024-09-14T16:04:49","I need to exchange the item in order ORD_020960 for a different size. The current one is too small."
"TKT_000045","CUST_01198","ORD_021011","Product Quality","Medium","Resolved","2024-11-03T01:39:58","2024-11-03T20:39:58","Order ORD_021011 was missing several components that are listed as included. Can you send the missing parts or process a refund?"
"TKT_000046","CUST_02518","ORD_031845","Technical Support","Medium","Resolved","2023-08-28T21:55:18","2023-08-29T04:55:18","I've been trying to cancel order ORD_031845 through the app but the cancel button is greyed out. Please cancel it manually. Please resolve this as soon as possible."
"TKT_000047","CUST_03090","ORD_008695","Product Quality","High","Resolved","2024-03-31T09:15:50","2024-03-31T11:15:50","I purchased ORD_008695 and the product stopped working after just 12 days. This is completely unacceptable for the price I paid. This is quite urgent as I need it for a gift."
"TKT_000048","CUST_03584","ORD_029614","Returns & Refunds","Medium","Resolved","2023-05-06T01:22:55","2023-05-06T22:22:55","The return portal isn't accepting my order number ORD_029614. I've tried multiple times. Please process this manually. I would appreciate a prompt response."
"TKT_000049","CUST_02555","ORD_003919","Billing","High","Resolved","2023-12-09T01:54:36","2023-12-09T09:54:36","I was not informed of the additional shipping charge applied to ORD_003919. The total was higher than shown at checkout."
"TKT_000050","CUST_01522","ORD_015209","Delivery Issue","Medium","Resolved","2024-07-16T10:48:57","2024-07-17T01:48:57","The estimated delivery for ORD_015209 was 13 days ago. I've contacted the courier but they keep redirecting me to you. I would appreciate a prompt response."
"TKT_000051","CUST_01206","ORD_044211","Returns & Refunds","Medium","Resolved","2024-04-24T09:40:00","2024-04-26T07:40:00","The return portal isn't accepting my order number ORD_044211. I've tried multiple times. Please process this manually. This is quite urgent as I need it for a gift."
"TKT_000052","CUST_02567","ORD_030356","Billing","High","Resolved","2024-04-03T11:54:26","2024-04-03T19:54:26","The VAT receipt for order ORD_030356 shows the wrong amount. I need a corrected invoice for my business expense claim. I have been a loyal customer for years and this is very disappointing."
"TKT_000053","CUST_02647","ORD_001918","Product Quality","Critical","Resolved","2024-12-18T14:07:42","2024-12-20T03:07:42","The item in order ORD_001918 broke on first use. The quality control on this product seems very poor. I am happy to provide any additional details you need."
"TKT_000054","CUST_01952","ORD_027827","Returns & Refunds","Low","Resolved","2024-02-16T12:14:38","2024-02-17T05:14:38","I've been waiting 13 days for my refund for order ORD_027827. My bank says there's no pending transaction from you. I am happy to provide any additional details you need."
"TKT_000055","CUST_01781","ORD_032917","Delivery Issue","High","Closed","2024-11-23T20:26:14","2024-11-25T21:26:14","I placed order ORD_032917 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently? I have been a loyal customer for years and this is very disappointing."
"TKT_000056","CUST_04824","ORD_044739","Delivery Issue","High","Resolved","2024-12-28T01:10:46","2024-12-28T14:10:46","The tracking for ORD_044739 shows delivered but I was home all day and nothing arrived. My neighbour also confirms no package was left. Please resolve this as soon as possible."
"TKT_000057","CUST_03872","ORD_011213","Returns & Refunds","Medium","Resolved","2024-09-01T22:36:37","2024-09-02T02:36:37","My return for order ORD_011213 was received by you 4 days ago according to the tracking, but I haven't received my refund yet."
"TKT_000058","CUST_01001","ORD_008421","Delivery Issue","Low","Closed","2024-10-25T02:14:28","2024-10-28T20:14:28","The tracking for ORD_008421 shows delivered but I was home all day and nothing arrived. My neighbour also confirms no package was left."
"TKT_000059","CUST_03938","ORD_042530","Delivery Issue","Medium","Resolved","2024-10-18T15:11:12","2024-10-19T07:11:12","My delivery for ORD_042530 was left outside in the rain and the contents are damaged. I need a replacement or refund. This is quite urgent as I need it for a gift."
"TKT_000060","CUST_04081","ORD_035942","Delivery Issue","Medium","Resolved","2024-06-11T22:03:17","2024-06-12T08:03:17","My order ORD_035942 was supposed to arrive 13 days ago but I still haven't received it. The tracking number shows it's stuck in transit. I have all receipts and documentation ready to send."
"TKT_000061","CUST_03416","ORD_024121","Returns & Refunds","Medium","Resolved","2024-08-17T17:48:57","2024-08-19T10:48:57","I returned the item from ORD_024121 in perfect condition with original packaging but received a reduced refund without any explanation. I have all receipts and documentation ready to send."
"TKT_000062","CUST_03114","ORD_010387","Returns & Refunds","Low","Closed","2024-12-30T23:55:52","2025-01-01T03:55:52","I've been waiting 6 days for my refund for order ORD_010387. My bank says there's no pending transaction from you."
"TKT_000063","CUST_01644","ORD_006108","Returns & Refunds","High","Closed","2023-12-17T15:36:19","2023-12-19T04:36:19","The return portal isn't accepting my order number ORD_006108. I've tried multiple times. Please process this manually. I would appreciate a prompt response."
"TKT_000064","CUST_01959","ORD_011109","Technical Support","Medium","Resolved","2022-07-23T06:29:34","2022-07-24T23:29:34","I can't log in to my account. I've tried resetting the password multiple times but the reset email never arrives. I would appreciate a prompt response."
"TKT_000065","CUST_02115","ORD_015065","Delivery Issue","Medium","Resolved","2023-11-07T22:52:47","2023-11-08T15:52:47","I placed order ORD_015065 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently? I have been a loyal customer for years and this is very disappointing."
"TKT_000066","CUST_03356","ORD_011565","Returns & Refunds","Low","Resolved","2024-11-09T19:46:38","2024-11-10T21:46:38","I'd like to return my purchase from order ORD_011565 as it doesn't fit. I've been trying to get a prepaid return label for 14 days but haven't heard back."
"TKT_000067","CUST_00293","ORD_020354","Delivery Issue","Low","Resolved","2024-09-19T22:22:26","2024-09-20T19:22:26","My order ORD_020354 was supposed to arrive 6 days ago but I still haven't received it. The tracking number shows it's stuck in transit. Please resolve this as soon as possible."
"TKT_000068","CUST_04435","ORD_016321","Technical Support","High","In Progress","2024-11-11T07:21:13","","The website won't let me complete checkout. Every time I click confirm I get an error message."
"TKT_000069","CUST_02716","ORD_009961","Technical Support","Low","In Progress","2024-12-11T10:25:55","","I'm not receiving any order confirmation emails despite my email address being correct in my account settings."
"TKT_000070","CUST_02422","ORD_001480","Delivery Issue","High","Closed","2024-05-23T21:00:13","2024-05-25T04:00:13","I placed order ORD_001480 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently? This is quite urgent as I need it for a gift."
"TKT_000071","CUST_01808","ORD_007813","Billing","Low","Resolved","2022-12-22T14:23:21","2022-12-24T09:23:21","The VAT receipt for order ORD_007813 shows the wrong amount. I need a corrected invoice for my business expense claim. This is quite urgent as I need it for a gift."
"TKT_000072","CUST_01640","ORD_013350","Product Quality","Low","Resolved","2024-04-21T16:35:12","2024-04-22T22:35:12","Order ORD_013350 was missing several components that are listed as included. Can you send the missing parts or process a refund?"
"TKT_000073","CUST_00200","ORD_005086","Returns & Refunds","Medium","Closed","2022-12-08T23:04:30","2022-12-12T00:04:30","I need to exchange the item in order ORD_005086 for a different size. The current one is too small."
"TKT_000074","CUST_00823","ORD_005628","Returns & Refunds","Low","Resolved","2024-12-27T06:26:38","2024-12-27T12:26:38","I need to exchange the item in order ORD_005628 for a different size. The current one is too small. I would appreciate a prompt response."
"TKT_000075","CUST_02467","ORD_022010","Product Quality","Critical","Resolved","2024-11-01T23:41:27","2024-11-03T06:41:27","The item I received for order ORD_022010 doesn't match the description on the website. The colour is different and the build quality is much worse than expected. I have been a loyal customer for years and this is very disappointing."
"TKT_000076","CUST_04238","ORD_037332","Returns & Refunds","High","Resolved","2024-08-03T13:01:12","2024-08-05T07:01:12","I returned the item from ORD_037332 in perfect condition with original packaging but received a reduced refund without any explanation. I have all receipts and documentation ready to send."
"TKT_000077","CUST_02072","ORD_017392","Delivery Issue","Low","Resolved","2024-12-05T01:52:08","2024-12-05T03:52:08","My delivery for ORD_017392 was left outside in the rain and the contents are damaged. I need a replacement or refund. I am happy to provide any additional details you need."
"TKT_000078","CUST_00388","ORD_005296","Technical Support","Medium","Resolved","2024-12-08T13:44:09","2024-12-09T01:44:09","I'm unable to track my order ORD_005296 — the tracking page just shows a spinning loader. Please resolve this as soon as possible."
"TKT_000079","CUST_03399","ORD_033694","Technical Support","High","Resolved","2024-10-07T00:26:08","2024-10-08T13:26:08","I can't log in to my account. I've tried resetting the password multiple times but the reset email never arrives."
"TKT_000080","CUST_02502","ORD_025766","Technical Support","Low","Closed","2024-12-28T08:09:58","2024-12-31T11:09:58","The website shows my last address is incorrect and I can't update it before my next delivery. This is quite urgent as I need it for a gift."
"TKT_000081","CUST_02849","ORD_001307","Returns & Refunds","High","Resolved","2024-11-14T06:23:29","2024-11-14T20:23:29","I need to exchange the item in order ORD_001307 for a different size. The current one is too small. This is quite urgent as I need it for a gift."
"TKT_000082","CUST_00651","ORD_033132","Billing","Low","Resolved","2024-11-14T06:03:05","2024-11-15T18:03:05","I was charged twice for order ORD_033132. Please check the transaction and process the duplicate charge refund immediately. I have been a loyal customer for years and this is very disappointing."
"TKT_000083","CUST_00761","ORD_036076","Product Quality","Critical","Resolved","2024-02-13T15:39:23","2024-02-15T08:39:23","The sizing for order ORD_036076 is wildly inaccurate compared to your size guide. The item is at least two sizes smaller than stated. I have been a loyal customer for years and this is very disappointing."
"TKT_000084","CUST_00424","ORD_043146","Delivery Issue","Medium","Resolved","2024-09-15T16:01:08","2024-09-17T07:01:08","I received a notification that ORD_043146 was out for delivery but it never arrived. This is the second time this has happened. Please resolve this as soon as possible."
"TKT_000085","CUST_04744","ORD_007351","Delivery Issue","Low","Closed","2023-09-06T10:06:51","2023-09-08T20:06:51","I placed order ORD_007351 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently?"
"TKT_000086","CUST_01976","ORD_035978","Returns & Refunds","Medium","Resolved","2023-09-06T14:45:48","2023-09-07T08:45:48","I was charged a return fee for order ORD_035978 but your website clearly states returns are free within 30 days. Please refund this charge. I would appreciate a prompt response."
"TKT_000087","CUST_03851","ORD_029957","Technical Support","High","Resolved","2024-04-03T20:32:06","2024-04-05T18:32:06","Your mobile app keeps crashing when I try to view my order history. I've reinstalled it twice and the problem persists."
"TKT_000088","CUST_02113","ORD_041828","Delivery Issue","High","Resolved","2024-04-23T02:36:04","2024-04-23T21:36:04","Order ORD_041828 shows a delivery attempt was made but no card was left and I was home. Please reschedule the delivery or issue a refund."
"TKT_000089","CUST_02573","ORD_047229","Returns & Refunds","Low","Resolved","2024-12-26T09:14:16","2024-12-26T20:14:16","My return for order ORD_047229 was received by you 10 days ago according to the tracking, but I haven't received my refund yet. I have all receipts and documentation ready to send."
"TKT_000090","CUST_03565","ORD_008805","Billing","Low","Resolved","2023-06-11T07:56:03","2023-06-12T04:56:03","I was charged twice for order ORD_008805. Please check the transaction and process the duplicate charge refund immediately."
"TKT_000091","CUST_02625","ORD_010051","Delivery Issue","Low","Resolved","2024-03-22T11:38:56","2024-03-23T19:38:56","I placed order ORD_010051 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently?"
"TKT_000092","CUST_03089","ORD_027982","Returns & Refunds","Medium","Open","2023-12-28T16:25:52","","I changed my mind about order ORD_027982 and would like to return it within the 30-day window. Please advise on the return procedure. This is quite urgent as I need it for a gift."
"TKT_000093","CUST_04615","ORD_029392","Delivery Issue","Low","In Progress","2024-10-28T07:35:47","","The estimated delivery for ORD_029392 was 3 days ago. I've contacted the courier but they keep redirecting me to you. I have all receipts and documentation ready to send."
"TKT_000094","CUST_01655","ORD_022337","Returns & Refunds","Critical","Resolved","2024-12-14T23:46:38","2024-12-15T18:46:38","The return portal isn't accepting my order number ORD_022337. I've tried multiple times. Please process this manually. I am happy to provide any additional details you need."
"TKT_000095","CUST_01412","ORD_033070","Product Quality","Low","Resolved","2024-11-10T08:39:34","2024-11-10T11:39:34","I've noticed a strong chemical smell from the item in order ORD_033070 that doesn't go away even after airing it out for several days."
"TKT_000096","CUST_04299","ORD_002117","Delivery Issue","Medium","Resolved","2024-08-09T05:23:35","2024-08-09T22:23:35","My delivery for ORD_002117 was left outside in the rain and the contents are damaged. I need a replacement or refund. I have all receipts and documentation ready to send."
"TKT_000097","CUST_00883","ORD_047764","Billing","Medium","Resolved","2024-11-27T17:08:47","2024-11-28T17:08:47","The VAT receipt for order ORD_047764 shows the wrong amount. I need a corrected invoice for my business expense claim."
"TKT_000098","CUST_04447","ORD_044523","Returns & Refunds","Medium","Closed","2024-06-30T23:10:58","2024-07-02T02:10:58","The return portal isn't accepting my order number ORD_044523. I've tried multiple times. Please process this manually. This is quite urgent as I need it for a gift."
"TKT_000099","CUST_00376","ORD_036783","Billing","Medium","Resolved","2024-08-17T06:19:38","2024-08-17T15:19:38","Please update my payment method on file — my card ending in XXXX has expired. This is quite urgent as I need it for a gift."
"TKT_000100","CUST_01522","ORD_049265","Returns & Refunds","Medium","Closed","2024-11-26T14:35:14","2024-11-30T20:35:14","I've been waiting 11 days for my refund for order ORD_049265. My bank says there's no pending transaction from you. I have been a loyal customer for years and this is very disappointing."
"TKT_000101","CUST_00955","ORD_044359","Returns & Refunds","High","Resolved","2024-06-17T21:44:36","2024-06-18T09:44:36","I returned the item from ORD_044359 in perfect condition with original packaging but received a reduced refund without any explanation."
"TKT_000102","CUST_01868","ORD_019564","Delivery Issue","Low","In Progress","2024-06-15T12:36:51","","My order ORD_019564 was supposed to arrive 9 days ago but I still haven't received it. The tracking number shows it's stuck in transit."
"TKT_000103","CUST_04982","ORD_045578","Delivery Issue","Medium","Resolved","2024-12-21T00:01:54","2024-12-21T07:01:54","I placed order ORD_045578 over a week ago and the status hasn't updated since it left the warehouse. Can someone look into this urgently? Please resolve this as soon as possible."
"TKT_000104","CUST_03753","ORD_015388","Billing","Critical","Closed","2024-12-08T15:51:49","2024-12-12T15:51:49","I was not informed of the additional shipping charge applied to ORD_015388. The total was higher than shown at checkout. I would appreciate a prompt response."
"TKT_000105","CUST_01923","ORD_042160","Returns & Refunds","Low","Resolved","2023-02-01T06:28:20","2023-02-01T13:28:20","I'd like to return my purchase from order ORD_042160 as it doesn't fit. I've been trying to get a prepaid return label for 7 days but haven't heard back. This is quite urgent as I need it for a gift."
"TKT_000106","CUST_02948","ORD_020665","Delivery Issue","Low","In Progress","2023-12-31T14:06:32","","My order ORD_020665 was supposed to arrive 9 days ago but I still haven't received it. The tracking number shows it's stuck in transit."
"TKT_000107","CUST_01524","ORD_029955","Returns & Refunds","Critical","Resolved","2024-12-16T04:43:27","2024-12-17T09:43:27","The return portal isn't accepting my order number ORD_029955. I've tried multiple times. Please process this manually. I would appreciate a prompt response."
"TKT_000108","CUST_01450","ORD_001627","Billing","Low","In Progress","2024-03-14T15:44:59","","Please update my payment method on file — my card ending in XXXX has expired. I would appreciate a prompt response."
"TKT_000109","CUST_04854","ORD_042291","Delivery Issue","Low","Resolved","2024-05-27T04:47:22","2024-05-27T19:47:22","I received a notification that ORD_042291 was out for delivery but it never arrived. This is the second time this has happened. Please resolve this as soon as possible."
"TKT_000110","CUST_01365","ORD_000161","Product Quality","Medium","In Progress","2024-08-02T15:41:57","","The product in order ORD_000161 is clearly a different model from what was advertised. The specifications are different. I would appreciate a prompt response."
"TKT_000111","CUST_04417","ORD_001987","Billing","Low","Closed","2024-09-11T15:20:12","2024-09-13T03:20:12","I was charged twice for order ORD_001987. Please check the transaction and process the duplicate charge refund immediately. This is quite urgent as I need it for a gift."
"TKT_000112","CUST_02834","ORD_025934","Returns & Refunds","High","Resolved","2024-03-15T09:28:51","2024-03-15T19:28:51","I was charged a return fee for order ORD_025934 but your website clearly states returns are free within 30 days. Please refund this charge."
"TKT_000113","CUST_01004","ORD_030201","Product Quality","Medium","Resolved","2023-12-28T00:27:44","2023-12-28T06:27:44","The item I received for order ORD_030201 doesn't match the description on the website. The colour is different and the build quality is much worse than expected. I am happy to provide any additional details you need."
"TKT_000114","CUST_00741","ORD_034650","Technical Support","Low","Resolved","2023-09-09T02:36:00","2023-09-09T20:36:00","I can't log in to my account. I've tried resetting the password multiple times but the reset email never arrives."
"TKT_000115","CUST_01960","ORD_017163","Delivery Issue","Medium","Open","2024-09-08T22:18:53","","My order ORD_017163 was supposed to arrive 9 days ago but I still haven't received it. The tracking number shows it's stuck in transit."
"TKT_000116","CUST_03850","ORD_023837","Product Quality","Low","Closed","2024-12-19T01:36:39","2024-12-20T23:36:39","I've noticed a strong chemical smell from the item in order ORD_023837 that doesn't go away even after airing it out for several days. I have been a loyal customer for years and this is very disappointing."
"TKT_000117","CUST_03902","ORD_042924","Technical Support","Low","Resolved","2024-08-12T06:38:27","2024-08-13T22:38:27","I'm unable to track my order ORD_042924 — the tracking page just shows a spinning loader."
"TKT_000118","CUST_00390","ORD_039404","Product Quality","Low","Resolved","2024-01-15T13:18:12","2024-01-17T04:18:12","Order ORD_039404 was missing several components that are listed as included. Can you send the missing parts or process a refund?"
"TKT_000119","CUST_01567","ORD_000696","Billing","Low","Resolved","2024-11-13T04:05:52","2024-11-13T14:05:52","The VAT receipt for order ORD_000696 shows the wrong amount. I need a corrected invoice for my business expense claim."
"TKT_000120","CUST_04505","ORD_039146","Product Quality","Medium","Resolved","2024-12-23T22:46:31","2024-12-24T07:46:31","I've noticed a strong chemical smell from the item in order ORD_039146 that doesn't go away even after airing it out for several days."
"TKT_000121","CUST_01650","ORD_011010","Delivery Issue","Medium","Open","2024-09-12T20:10:02","","My order ORD_011010 was supposed to arrive 9 days ago but I still haven't received it. The tracking number shows it's stuck in transit."
"TKT_000122","CUST_04481","ORD_047719","Delivery Issue","Low","Closed","2024-10-06T07:26:03","2024-10-07T09:26:03","My order ORD_047719 was supposed to arrive 12 days ago but I still haven't received it. The tracking number shows it's stuck in transit."
"TKT_000123","CUST_01370","ORD_019312","Delivery Issue","Low","Open","2024-11-11T23:07:02","","Order ORD_019312 shows a delivery attempt was made but no card was left and I was home. Please reschedule the delivery or issue a refund. I would appreciate a prompt response."
"TKT_000124","CUST_02832","ORD_027900","Technical Support","High","Resolved","2024-12-03T21:45:24","2024-12-04T03:45:24","The website won't let me complete checkout. Every time I click confirm I get an error message. Please resolve this as soon as possible."
"TKT_000125","CUST_03316","ORD_003063","Returns & Refunds","Medium","Resolved","2024-12-23T23:35:08","2024-12-24T07:35:08","I changed my mind about order ORD_003063 and would like to return it within the 30-day window. Please advise on the return procedure. I have all receipts and documentation ready to send."
"TKT_000126","CUST_02837","ORD_038404","Product Quality","Low","Resolved","2024-06-24T11:29:12","2024-06-24T18:29:12","The sizing for order ORD_038404 is wildly inaccurate compared to your size guide. The item is at least two sizes smaller than stated."
