"review_id","order_id","customer_id","product_id","product_name","category","store_region","rating","sentiment_label","review_date","review_text","verified_purchase"
"REV_000020","ORD_034548","CUST_04836","PRD_169","Oat Milk Barista Edition 1L Elite","Food & Beverage","Online","4","Positive","2022-12-26","Very well packaged — no damage at all. A staple in my kitchen now — I buy this regularly. Great price for such a premium product.","True"
"REV_000021","ORD_032230","CUST_04208","PRD_134","Vertical Garden Wall Planter Classic","Home & Garden","Online","3","Neutral","2023-04-10","Exactly what I needed for organising my space. Mixed feelings about this one — pros and cons. Not bad for the price — sets realistic expectations.","True"
"REV_000022","ORD_023845","CUST_03769","PRD_068","Screen Cleaning Kit Pro Classic","Electronics","Sicilia","1","Negative","2024-04-28","The build quality is very poor — feels like it will break easily. It took over 10 days to arrive, which is unacceptable.","True"
"REV_000023","ORD_023214","CUST_02309","PRD_122","Anti-Blue Light Glasses Gaming Classic","Electronics","Marche","5","Positive","2022-10-20","The noise cancellation is genuinely impressive. Great value for money compared to other brands.","True"
"REV_000024","ORD_003460","CUST_03889","PRD_020","Trekking Pole Pair Collapsible v2","Sports & Outdoors","Emilia-Romagna","5","Positive","2023-08-21","Perfect for both beginners and more advanced athletes. Waterproofing works perfectly — stayed dry in heavy rain. This is now my go-to brand for this type of product.","True"
"REV_000025","ORD_000258","CUST_03829","PRD_008","USB-C Hub 7-in-1 Lite","Electronics","Online","5","Positive","2022-08-13","Great seller — fast shipping and good communication. Will definitely be ordering again.","True"
"REV_000026","ORD_024068","CUST_03215","PRD_104","Sustainable Bamboo Socks Set Lite","Clothing & Apparel","Lazio","5","Positive","2024-07-01","The zip and buttons feel sturdy, not cheap at all. Five stars without hesitation. Exactly as described — no surprises.","True"
"REV_000027","ORD_044925","CUST_04113","PRD_004","Mortar and Pestle Granite Mini","Home & Garden","Emilia-Romagna","4","Positive","2022-05-31","Exactly what I needed for organising my space. My plants are thriving since I started using this. Great seller — fast shipping and good communication. Exactly as described — no surprises.","True"
"REV_000028","ORD_002380","CUST_04421","PRD_168","Collagen Protein Powder Vanilla v2","Food & Beverage","Sicilia","4","Positive","2022-10-03","A staple in my kitchen now — I buy this regularly. Highly satisfied with my purchase. The aroma is wonderful — fills the whole kitchen.","True"
"REV_000029","ORD_001578","CUST_00551","PRD_095","Boys Cargo Trousers Fleece Classic","Clothing & Apparel","Marche","5","Positive","2022-05-29","Picked it up at the Ancona store and the staff was very helpful. Very well packaged — no damage at all. Great seller — fast shipping and good communication.","True"
"REV_000030","ORD_039644","CUST_04871","PRD_057","Classic Slim Fit Chinos v2","Clothing & Apparel","Sicilia","5","Positive","2024-05-17","Very comfortable to wear all day long. Five stars without hesitation. The stitching is neat and everything looks well-made.","True"
"REV_000031","ORD_014357","CUST_03524","PRD_009","Desktop Microphone Studio v2","Electronics","Piemonte","5","Positive","2023-08-16","Customer service was helpful when I had a question. Would definitely recommend to friends and family.","False"
"REV_000032","ORD_004490","CUST_03640","PRD_157","Smart Speaker Voice Control Mini","Electronics","Online","5","Positive","2023-05-07","Build quality feels solid and premium for the price. This is now my go-to brand for this type of product. Connects instantly via Bluetooth and holds the connection perfectly.","True"
"REV_000033","ORD_004901","CUST_04388","PRD_196","Tennis Overgrip Pack of 3 Elite","Sports & Outdoors","Online","3","Neutral","2022-11-17","It gets the job done, but I've seen better. Setup took longer than it should have.","True"
"REV_000034","ORD_038632","CUST_02333","PRD_001","Trekking Pole Pair Collapsible","Sports & Outdoors","Campania","3","Neutral","2024-11-14","Comfortable to wear even during long workouts. OK product overall — a few minor issues but nothing major. The strap snapped during a light workout.","True"
"REV_000035","ORD_018253","CUST_04825","PRD_026","Gourmet Truffle Salt 100g Lite","Food & Beverage","Umbria","3","Neutral","2022-11-02","Acceptable quality — meets the basic requirements. Some features are good, others are a bit disappointing. Took a little longer than expected to arrive.","True"
"REV_000036","ORD_027402","CUST_03925","PRD_159","Mechanical Pencil Digital Elite","Electronics","Online","4","Positive","2022-10-27","The noise cancellation is genuinely impressive. Five stars without hesitation.","True"
"REV_000037","ORD_013397","CUST_01241","PRD_181","Watering Can Copper Finish 5L v2","Home & Garden","Online","3","Neutral","2023-02-06","The colour is slightly different from the photos. OK product overall — a few minor issues but nothing major. Took a little longer than expected to arrive.","True"
"REV_000038","ORD_011096","CUST_03310","PRD_112","Artisan Coffee Capsules 20-Pack Lite","Food & Beverage","Online","5","Positive","2024-02-15","Delivery was faster than expected — arrived the next day. Customer service was helpful when I had a question. This is now my go-to brand for this type of product.","True"
"REV_000039","ORD_010654","CUST_04177","PRD_107","Dried Porcini Mushrooms 50g v2","Food & Beverage","Online","5","Positive","2023-06-20","A staple in my kitchen now — I buy this regularly. Will definitely be ordering again. Packaging is eco-friendly and keeps everything fresh. The flavour is absolutely delicious — rich and well-balanced.","True"
"REV_000040","ORD_013885","CUST_03391","PRD_063","Water Polo Ball Size 4 Mini","Sports & Outdoors","Online","3","Neutral","2024-10-18","OK product overall — a few minor issues but nothing major. Mixed feelings about this one — pros and cons.","True"
"REV_000041","ORD_030040","CUST_01623","PRD_195","RGB LED Light Strip 5m Pro","Electronics","Friuli-Venezia Giulia","5","Positive","2023-12-28","Highly satisfied with my purchase. The companion app is intuitive and feature-rich. The display quality is outstanding — colours are vivid and sharp.","True"
"REV_000042","ORD_003279","CUST_01019","PRD_176","Multi-Port Fast Charger 65W Pro","Electronics","Online","5","Positive","2023-02-10","The touch sensitivity is very responsive. Much lighter than I expected which is great for daily use. Exactly as described — no surprises.","True"
"REV_000043","ORD_029525","CUST_04466","PRD_114","Patterned Silk Scarf Lite","Clothing & Apparel","Online","3","Neutral","2022-06-14","Mixed feelings about this one — pros and cons. Average quality — neither impressed nor disappointed. Works fine but feels a bit plasticky.","True"
"REV_000044","ORD_021618","CUST_02923","PRD_155","Specialty Balsamic Vinegar Aged Pro","Food & Beverage","Lazio","5","Positive","2023-10-08","My family loved it, even the picky eaters. Would definitely recommend to friends and family. The aroma is wonderful — fills the whole kitchen. A staple in my kitchen now — I buy this regularly.","True"
"REV_000045","ORD_018308","CUST_03110","PRD_001","Trekking Pole Pair Collapsible","Sports & Outdoors","Campania","1","Negative","2023-03-13","Delivery driver left it with a neighbour without asking. Much heavier than listed — impractical for trail use.","True"
"REV_000046","ORD_045103","CUST_00482","PRD_135","Tailored Blazer Modern Fit Classic","Clothing & Apparel","Toscana","4","Positive","2024-09-16","Colours are exactly as shown in the photos. Highly satisfied with my purchase. Very comfortable to wear all day long. Perfect fit — I ordered my usual size and it was spot on.","True"
"REV_000047","ORD_033336","CUST_03394","PRD_190","Tablet Stand Adjustable 360 v2","Electronics","Marche","2","Negative","2023-09-25","Overheats within 30 minutes of use. Customer service was unhelpful when I tried to get a replacement.","True"
"REV_000048","ORD_001997","CUST_00950","PRD_031","Scented Soy Candle Vanilla Cedar","Home & Garden","Calabria","3","Neutral","2024-12-04","Not bad for the price — sets realistic expectations. OK product overall — a few minor issues but nothing major.","False"
"REV_000049","ORD_004968","CUST_01291","PRD_065","Artisan Dark Chocolate 85% Cacao Plus","Food & Beverage","Trentino-Alto Adige","4","Positive","2024-08-01","The team at the Trentino-Alto Adige store were really knowledgeable. I've tried many similar products and this is by far the best. Would definitely recommend to friends and family. Great price for such a premium product.","True"
"REV_000050","ORD_030094","CUST_03160","PRD_003","Yoga Mat Non-Slip Eco Cork Pro","Sports & Outdoors","Veneto","4","Positive","2022-06-27","My recovery time has noticeably improved since using this. This is now my go-to brand for this type of product. Exactly as described — no surprises.","False"
"REV_000051","ORD_024503","CUST_03148","PRD_057","Classic Slim Fit Chinos v2","Clothing & Apparel","Veneto","5","Positive","2022-11-30","Delivery was faster than expected — arrived the next day. Love the sustainable materials used.","True"
"REV_000052","ORD_001272","CUST_04429","PRD_131","Oversized Knit Jumper v2","Clothing & Apparel","Puglia","4","Positive","2025-01-02","Washes well and hasn't shrunk or faded at all. Very well packaged — no damage at all. This is now my go-to brand for this type of product.","True"
"REV_000053","ORD_014679","CUST_01121","PRD_113","Organic Quinoa 1kg Lite","Food & Beverage","Calabria","3","Neutral","2025-01-08","The colour is slightly different from the photos. Customer service response was slow but eventually helpful.","True"
"REV_000054","ORD_016889","CUST_04220","PRD_124","Screen Cleaning Kit Pro Mini","Electronics","Online","3","Neutral","2023-09-08","Average quality — neither impressed nor disappointed. Customer service response was slow but eventually helpful.","True"
"REV_000055","ORD_012200","CUST_04639","PRD_096","Curved Gaming Monitor 27"" Lite","Electronics","Online","3","Neutral","2022-09-20","Setup took longer than it should have. The colour is slightly different from the photos.","True"
"REV_000056","ORD_008686","CUST_01042","PRD_119","Mini Projector Portable Classic","Electronics","Online","2","Negative","2023-01-23","The wrong item was delivered and returning it has been a nightmare. Package was left outside in the rain. Overheats within 30 minutes of use.","False"
"REV_000057","ORD_007162","CUST_04425","PRD_161","High-Waist Yoga Pants Mini","Clothing & Apparel","Veneto","5","Positive","2024-02-10","Ordered online and collected from the Verona location — very smooth. Colours are exactly as shown in the photos. Very comfortable to wear all day long.","True"
"REV_000058","ORD_000221","CUST_04719","PRD_178","Compression Running Socks Plus","Clothing & Apparel","Online","4","Positive","2023-11-01","Colours are exactly as shown in the photos. The zip and buttons feel sturdy, not cheap at all.","False"
"REV_000059","ORD_046535","CUST_02670","PRD_192","Jump Rope Weighted Professional Elite","Sports & Outdoors","Veneto","3","Neutral","2024-12-06","It gets the job done, but I've seen better. Acceptable quality — meets the basic requirements.","False"
"REV_000060","ORD_033371","CUST_04516","PRD_197","Memory Foam Insoles","Clothing & Apparel","Veneto","5","Positive","2024-11-17","Compliments every time I wear this. Very well packaged — no damage at all.","True"
"REV_000061","ORD_042420","CUST_03551","PRD_114","Patterned Silk Scarf Lite","Clothing & Apparel","Online","4","Positive","2022-02-14","Picked it up at the Roma store and the staff was very helpful. Great range of sizes available. The fabric quality feels premium for the price. Will definitely be ordering again. I've already ordered the same item in another colour.","True"
"REV_000062","ORD_040982","CUST_03074","PRD_163","Single Origin Espresso Beans 500g Lite","Food & Beverage","Online","5","Positive","2022-09-26","The team at the Online store were really knowledgeable. This is now my go-to brand for this type of product. My family loved it, even the picky eaters. I've tried many similar products and this is by far the best.","True"
"REV_000063","ORD_014531","CUST_02949","PRD_029","Genuine Leather Wallet Slim","Clothing & Apparel","Emilia-Romagna","3","Neutral","2023-11-21","Perfect fit — I ordered my usual size and it was spot on. The colour is slightly different from the photos. The size runs slightly larger than expected.","True"
"REV_000064","ORD_036589","CUST_00939","PRD_047","Gym Shorts Quick-Dry Classic","Clothing & Apparel","Online","3","Neutral","2022-05-01","The colour is slightly different from the photos. Colours are exactly as shown in the photos.","True"
"REV_000065","ORD_032475","CUST_04748","PRD_033","Floral Wrap Dress Elite","Clothing & Apparel","Sicilia","5","Positive","2022-09-28","Very comfortable to wear all day long. Five stars without hesitation.","True"
"REV_000066","ORD_001267","CUST_03573","PRD_063","Water Polo Ball Size 4 Mini","Sports & Outdoors","Puglia","5","Positive","2022-07-25","Grip and traction are excellent on all surfaces. Really helped improve my training sessions. Exactly as described — no surprises.","True"
"REV_000067","ORD_030476","CUST_02887","PRD_055","Tennis Overgrip Pack of 3 v2","Sports & Outdoors","Puglia","5","Positive","2023-12-19","Grip and traction are excellent on all surfaces. Highly satisfied with my purchase.","True"
"REV_000068","ORD_030507","CUST_03667","PRD_142","Stainless Steel Water Bottle 1L Pro","Home & Garden","Online","5","Positive","2024-10-18","Sturdy construction — feels like it will last for years. My plants are thriving since I started using this. Very easy to clean and maintain.","True"
"REV_000069","ORD_029214","CUST_04874","PRD_084","Formal Oxford Shoes Classic","Clothing & Apparel","Online","5","Positive","2023-04-12","Delivery was faster than expected — arrived the next day. This is now my go-to brand for this type of product. The stitching is neat and everything looks well-made. Great seller — fast shipping and good communication.","True"
"REV_000070","ORD_030537","CUST_01274","PRD_080","Dance Shoes Suede Sole v2","Clothing & Apparel","Online","5","Positive","2024-11-14","This is now my go-to brand for this type of product. Very well packaged — no damage at all. I've already ordered the same item in another colour. Washes well and hasn't shrunk or faded at all.","False"
"REV_000071","ORD_010781","CUST_03125","PRD_051","Air Quality Monitor Smart Mini","Electronics","Sardegna","1","Negative","2025-01-12","Connection keeps dropping — really frustrating to use. The battery drains incredibly quickly — barely lasts a few hours. The wrong item was delivered and returning it has been a nightmare. The app crashes constantly and has never worked properly.","True"
"REV_000072","ORD_021744","CUST_01803","PRD_037","Craft Ginger Beer 4-Pack","Food & Beverage","Sicilia","3","Neutral","2024-06-08","The product arrived with only two weeks until expiry — unacceptable. The colour is slightly different from the photos. The product is decent for the price.","True"
"REV_000073","ORD_011674","CUST_02984","PRD_176","Multi-Port Fast Charger 65W Pro","Electronics","Lombardia","4","Positive","2023-10-23","Will definitely be ordering again. Much lighter than I expected which is great for daily use. Customer service was helpful when I had a question. Really pleased with how ergonomic the design is.","True"
"REV_000074","ORD_026755","CUST_04541","PRD_078","Cast Iron Skillet 26cm Plus","Home & Garden","Emilia-Romagna","4","Positive","2023-12-21","Customer service was helpful when I had a question. Exactly what I needed for organising my space. Looks even better in person than in the photos. Assembly was straightforward and took about 15 minutes.","True"
"REV_000075","ORD_015338","CUST_04853","PRD_187","Leather Gloves Driving Style Lite","Clothing & Apparel","Sardegna","1","Negative","2022-03-02","The sizing is completely off — nothing like the size guide suggested. Stitching came undone within a week of wearing. The wrong item was delivered and returning it has been a nightmare.","True"
"REV_000076","ORD_026720","CUST_02840","PRD_041","Smart Fitness Tracker Lite","Electronics","Calabria","3","Neutral","2023-08-05","Some features are good, others are a bit disappointing. Customer service was unhelpful when I tried to get a replacement.","True"
"REV_000077","ORD_049061","CUST_02075","PRD_193","Multi-Tool Pocket Knife 14-in-1 Elite","Sports & Outdoors","Sicilia","3","Neutral","2022-12-08","Customer service response was slow but eventually helpful. Not bad for the price — sets realistic expectations.","True"
"REV_000078","ORD_010830","CUST_03924","PRD_067","Ceramic Planter Set 3-Piece Classic","Home & Garden","Umbria","2","Negative","2024-12-11","Still waiting for a resolution from customer services. Scratched my floor during assembly.","True"
"REV_000079","ORD_047742","CUST_00377","PRD_073","Casual Denim Jacket Classic","Clothing & Apparel","Puglia","1","Negative","2022-07-24","Strong chemical smell that doesn't wash out. Tracking showed delivered but I never received anything. Looked nothing like the photos — very misleading listing. The sizing is completely off — nothing like the size guide suggested.","True"
"REV_000080","ORD_003224","CUST_01203","PRD_176","Multi-Port Fast Charger 65W Pro","Electronics","Toscana","5","Positive","2022-12-19","Customer service was helpful when I had a question. Setup was surprisingly easy and everything worked right out of the box. Much lighter than I expected which is great for daily use.","False"
"REV_000081","ORD_002532","CUST_01084","PRD_122","Anti-Blue Light Glasses Gaming Classic","Electronics","Online","3","Neutral","2023-04-15","Took a little longer than expected to arrive. Customer service was unhelpful when I tried to get a replacement.","True"
"REV_000082","ORD_003384","CUST_00805","PRD_054","Wide-Brim Sun Hat Plus","Clothing & Apparel","Piemonte","2","Negative","2023-09-04","The wrong item was delivered and returning it has been a nightmare. The zip broke after just three uses.","True"
"REV_000083","ORD_006641","CUST_02558","PRD_032","Craft Ginger Beer 4-Pack","Food & Beverage","Veneto","5","Positive","2024-04-08","The team at the Veneto store were really knowledgeable. Freshness is evident from the moment you open the packaging. I've tried many similar products and this is by far the best. Customer service was helpful when I had a question.","False"
"REV_000084","ORD_027675","CUST_01139","PRD_128","High-Waist Yoga Pants Mini","Clothing & Apparel","Online","3","Neutral","2022-12-24","It does what it says but nothing more. Setup took longer than it should have.","True"
"REV_000085","ORD_049553","CUST_01395","PRD_060","Dash Camera 4K Dual Lens Elite","Electronics","Veneto","3","Neutral","2023-10-13","Would consider repurchasing if the price drops. It does what it says but nothing more.","True"
"REV_000086","ORD_041676","CUST_02629","PRD_042","Cold Brew Coffee Concentrate Classic","Food & Beverage","Emilia-Romagna","5","Positive","2023-12-04","Perfect balance of sweet and savoury. This is now my go-to brand for this type of product.","True"
"REV_000087","ORD_017587","CUST_00434","PRD_014","Kids Dinosaur Print Hoodie","Clothing & Apparel","Sardegna","4","Positive","2022-05-27","Would definitely recommend to friends and family. The zip and buttons feel sturdy, not cheap at all.","False"
"REV_000088","ORD_015931","CUST_00021","PRD_120","Freeze-Dried Fruit Mix 200g Classic","Food & Beverage","Online","1","Negative","2022-09-17","The item arrived damaged — the packaging was completely crushed. Clearly not fresh — the product was already stale when it arrived. The taste was nothing like described — completely different flavour profile.","True"
"REV_000089","ORD_048509","CUST_03275","PRD_136","Pesto Artigianale Classico 180g Classic","Food & Beverage","Online","2","Negative","2023-12-27","Still waiting for a resolution from customer services. Delivery driver left it with a neighbour without asking. It took over 10 days to arrive, which is unacceptable.","True"
"REV_000090","ORD_004497","CUST_02092","PRD_076","Relaxed Linen Shirt","Clothing & Apparel","Emilia-Romagna","1","Negative","2022-07-29","The sizing is completely off — nothing like the size guide suggested. Strong chemical smell that doesn't wash out.","True"
"REV_000091","ORD_033760","CUST_00741","PRD_118","Car Phone Mount Magnetic Classic","Electronics","Toscana","3","Neutral","2024-04-03","OK product overall — a few minor issues but nothing major. Instructions could be clearer.","True"
"REV_000092","ORD_048868","CUST_00253","PRD_123","Lightweight Slip-On Loafers Mini","Clothing & Apparel","Online","5","Positive","2024-11-02","Delivery was faster than expected — arrived the next day. The fabric quality feels premium for the price. Perfect fit — I ordered my usual size and it was spot on.","False"
"REV_000093","ORD_028497","CUST_03698","PRD_096","Curved Gaming Monitor 27"" Lite","Electronics","Online","5","Positive","2022-11-14","Bought this at the Roma branch — great in-store experience. The touch sensitivity is very responsive. Great seller — fast shipping and good communication. This is now my go-to brand for this type of product.","True"
"REV_000094","ORD_010605","CUST_00326","PRD_126","Smart Fitness Tracker","Electronics","Veneto","5","Positive","2023-09-08","Very well packaged — no damage at all. Charging speed is impressive — full charge in under an hour. Great value for money compared to other brands. Sound quality is crystal clear, even at high volumes.","False"
"REV_000095","ORD_038381","CUST_03227","PRD_133","Road Bike Helmet MIPS Certified Mini","Sports & Outdoors","Online","4","Positive","2024-06-15","Great seller — fast shipping and good communication. Perfect for both beginners and more advanced athletes. Exactly as described — no surprises.","True"
"REV_000096","ORD_016441","CUST_02867","PRD_141","Mechanical Pencil Digital Classic","Electronics","Umbria","4","Positive","2022-12-12","Delivery was faster than expected — arrived the next day. Build quality feels solid and premium for the price. Image quality blew me away — so sharp and detailed. Will definitely be ordering again.","False"
"REV_000097","ORD_029670","CUST_02247","PRD_129","Headlamp LED 350 Lumens Lite","Sports & Outdoors","Veneto","5","Positive","2023-11-16","Perfect for both beginners and more advanced athletes. Waterproofing works perfectly — stayed dry in heavy rain. Lightweight and easy to pack for travel.","False"
"REV_000098","ORD_044246","CUST_04137","PRD_001","Trekking Pole Pair Collapsible","Sports & Outdoors","Friuli-Venezia Giulia","4","Positive","2022-09-07","Perfect for both beginners and more advanced athletes. Really helped improve my training sessions. Will definitely be ordering again.","True"
"REV_000099","ORD_014907","CUST_04000","PRD_025","Dried Porcini Mushrooms 50g Plus","Food & Beverage","Lazio","4","Positive","2024-12-14","Fast delivery to Roma — arrived the next day. A staple in my kitchen now — I buy this regularly. Would definitely recommend to friends and family. Very well packaged — no damage at all. Perfect balance of sweet and savoury.","True"
"REV_000100","ORD_017653","CUST_02704","PRD_179","Stackable Kitchen Organiser","Home & Garden","Veneto","2","Negative","2023-03-08","The colour looks nothing like the website images. Was left on the doorstep without any notification. Still waiting for a resolution from customer services. Broke on first use — very poor quality materials.","True"
"REV_000101","ORD_038723","CUST_02003","PRD_090","Sleeping Bag -10°C Mummy Pro","Sports & Outdoors","Friuli-Venezia Giulia","3","Neutral","2023-01-04","The product is decent for the price. Really helped improve my training sessions.","True"
"REV_000102","ORD_024065","CUST_04468","PRD_060","Dash Camera 4K Dual Lens Elite","Electronics","Toscana","3","Neutral","2024-05-20","Customer service was unhelpful when I tried to get a replacement. Stopped working after just two weeks — very disappointing.","True"
"REV_000103","ORD_013818","CUST_03949","PRD_180","Almond Butter Crunchy 340g Elite","Food & Beverage","Trentino-Alto Adige","2","Negative","2023-04-29","The product arrived with only two weeks until expiry — unacceptable. Found a foreign object inside the packaging — extremely concerning. Package was left outside in the rain. The portion size is much smaller than implied by the packaging.","True"
"REV_000104","ORD_030839","CUST_02167","PRD_095","Boys Cargo Trousers Fleece Classic","Clothing & Apparel","Veneto","5","Positive","2023-05-14","Very comfortable to wear all day long. Very well packaged — no damage at all. Exactly as described — no surprises.","True"
"REV_000105","ORD_006373","CUST_04424","PRD_157","Smart Speaker Voice Control Mini","Electronics","Online","2","Negative","2023-02-26","Connection keeps dropping — really frustrating to use. The wrong item was delivered and returning it has been a nightmare.","False"
"REV_000106","ORD_040829","CUST_03759","PRD_110","Organic Quinoa 1kg Lite","Food & Beverage","Puglia","3","Neutral","2023-12-15","Works fine but feels a bit plasticky. Customer service response was slow but eventually helpful. The product is decent for the price.","True"
"REV_000107","ORD_010238","CUST_00532","PRD_157","Smart Speaker Voice Control Mini","Electronics","Campania","4","Positive","2022-05-07","The touch sensitivity is very responsive. Sound quality is crystal clear, even at high volumes. Connects instantly via Bluetooth and holds the connection perfectly. Really pleased with how ergonomic the design is.","True"
"REV_000108","ORD_017322","CUST_00640","PRD_147","Sea Salt Caramel Popcorn 150g Pro","Food & Beverage","Online","3","Neutral","2023-12-26","Delivery was on time but the packaging could be better. Average quality — neither impressed nor disappointed.","True"
"REV_000109","ORD_034280","CUST_04566","PRD_028","External SSD 1TB Plus","Electronics","Online","5","Positive","2024-03-16","Bought this at the Roma branch — great in-store experience. Would definitely recommend to friends and family. Exactly as described — no surprises. Connects instantly via Bluetooth and holds the connection perfectly. The touch sensitivity is very responsive.","True"
"REV_000110","ORD_021920","CUST_00093","PRD_106","Smart Speaker Voice Control Classic","Electronics","Umbria","3","Neutral","2022-12-03","Delivery was on time but the packaging could be better. Stopped working after just two weeks — very disappointing. Functional but lacks the premium feel I expected.","False"
"REV_000111","ORD_041812","CUST_03101","PRD_041","Smart Fitness Tracker Lite","Electronics","Veneto","4","Positive","2022-06-14","Really pleased with how ergonomic the design is. Image quality blew me away — so sharp and detailed.","True"
"REV_000112","ORD_008733","CUST_01067","PRD_007","Noise Cancelling Headphones Pro","Electronics","Puglia","5","Positive","2024-06-10","Ordered online and collected from the Lecce location — very smooth. The touch sensitivity is very responsive. Will definitely be ordering again. The noise cancellation is genuinely impressive. Really pleased with how ergonomic the design is.","True"
"REV_000113","ORD_031963","CUST_00266","PRD_032","Craft Ginger Beer 4-Pack","Food & Beverage","Online","4","Positive","2024-01-03","Exactly as described — no surprises. This is now my go-to brand for this type of product. Would definitely recommend to friends and family.","True"
"REV_000114","ORD_000277","CUST_04027","PRD_193","Multi-Tool Pocket Knife 14-in-1 Elite","Sports & Outdoors","Sicilia","3","Neutral","2022-12-21","Average quality — neither impressed nor disappointed. Instructions could be clearer.","True"
"REV_000115","ORD_027068","CUST_03858","PRD_163","Single Origin Espresso Beans 500g Lite","Food & Beverage","Lombardia","1","Negative","2023-01-13","The portion size is much smaller than implied by the packaging. Found a foreign object inside the packaging — extremely concerning. Tracking showed delivered but I never received anything.","True"
